Mountain Name,Elevation,Prominence,Isolation,Number of ascents,Latitude,Longitude
Mount Columbia,14073,873,1.6,409,52.1473441,-117.4407271
Mount Augusta,14070,5015,14.2,1,60.3080847,-140.458206
Missouri Mountain,14067,827,1.3,456,38.9475767,-106.378528
Humboldt Peak,14064,1184,1.4,387,37.9761111,-105.555285
Mount Bierstadt,14060,700,1,1370,39.5826212,-105.6687761
Sunlight Peak,14059,379,0.5,234,37.6274221,-107.5958515
Split Mountain,14058,1526,6.8,379,43.164117,-109.6723729
Cofre de Perote,14049,4600,30.7,20,19.4941853,-97.1478249
Handies Peak,14048,1888,11.1,562,37.9129884,-107.504452
Culebra Peak,14047,4807,35.4,231,37.1223405,-105.1858008
Mount Lindsey,14042,1522,2.2,289,37.5839008,-105.444904
Mount Steele - Southeast Peak,14042,1312,2.7,0,,-105.444904
Mount Slaggard - West Peak,14042,394,1.4,0,,-105.444904
Ellingwood Point,14042,322,0.5,303,37.5825877,-105.492546
Mount Williamson - Far Northeast Horn,14042,131,0.1,6,,-105.492546
Conundrum Peak,14040,200,0.4,241,39.015747,-106.862782
Longs Peak - Southeast Peak,14040,200,0.1,32,,-106.862782
North Eolus,14039,159,0.2,196,37.6252457,-107.6211987
Little Bear Peak,14037,357,0.9,224,37.5666715,-105.497233
Mount Sherman,14036,876,8.1,976,39.2250901,-106.1700689
Redcloud Peak,14034,1436,4.9,465,37.9409189,-107.421844
Mount Langley,14026,1165,4.4,946,36.5234337,-118.239498
South Conundrum Peak,14022,22,0.1,145,,-118.239498
Little Bear Peak - South Peak,14020,60,0.2,21,,-118.239498
Mount Tyndall,14019,1093,1.4,390,-41.9334721,145.5911528
Pyramid Peak,14018,1618,2.1,239,39.0716572,-106.950112
Wilson Peak,14017,857,1.4,296,37.8604304,-107.984691
Wetterhorn Peak,14015,1615,2.7,373,38.0607958,-107.5110101
San Luis Peak,14014,3113,27,366,37.9868041,-106.931283
North Maroon Peak,14014,214,0.4,236,39.0760069,-106.9870778
Mount Wrangell - West Peak,14013,513,1.5,3,,-106.9870778
Middle Palisade,14012,1086,2.6,293,37.0702836,-118.469137
Mount Muir,14012,299,0.5,466,36.5647495,-118.291254
Mount of the Holy Cross,14005,2111,18.4,488,39.466746,-106.481638
Huron Peak,14003,1403,3.2,596,38.9454592,-106.437998
Thunderbolt Peak,14003,203,0.2,192,37.0974873,-118.5172992
Sunshine Peak,14001,481,1.3,431,37.9228021,-107.42535
South Bross Peak,14000,40,0.3,79,,-107.42535
Nevado de Colima,13976,8858,251.8,30,19.5633402,-103.6082917
Aiguille du Paquoir,13976,66,0.1,44,36.5708146,-118.2914083
Columbia Point,13960,320,0.2,95,37.9788886,-105.5980644
Kitty Kat Carson,13960,40,0.3,79,,-105.5980644
Mount Strickland,13911,2493,0,3,-37.5676,145.73648
Mount Kennedy,13911,1181,3.2,5,-43.4262503,170.5220995
Aello Peak - East Peak,13900,300,0.4,0,,170.5220995
Mount Everest,8849,8849,1315.6,68,27.9882228,86.9250873
Mount Everest,8849,8849,1315.6,68,27.9882228,86.9250873
Mount Everest - South Summit,8749,11,0.1,11,,86.9250873
K2,8614,4020,1315.6,16,35.8818694,76.513741
Kangchenjunga,8586,3922,124.2,14,27.701126,88.1483381
Lhotse,8516,610,2.4,10,27.8602077,86.8060351
Yalung Kang,8505,135,1.1,2,,86.8060351
Makalu,8485,2378,17.2,11,27.8914385,87.0884403
Kangchenjunga South,8476,76,1.1,1,,87.0884403
Kangchenjunga Central,8473,33,0.6,1,,87.0884403
Lhotse - Middle Summit,8410,60,0.3,1,,87.0884403
Lhotse Shar,8386,86,0.6,1,27.9587526,86.943763
Cho Oyu,8188,2344,27.7,21,28.0967465,86.659634
Dhaulagiri,8167,3357,317.4,10,28.6976088,83.4894884
Manaslu,8163,3092,105.5,16,28.5499829,84.5597284
Nanga Parbat,8125,4608,187.8,8,35.2384621,74.5895446
Annapurna,8091,2984,33.7,8,28.433657,83.8022522218142
Gasherbrum I,8080,2155,23.5,10,35.7246797,76.697623
Broad Peak,8051,1701,8.4,18,35.8142697,76.5661116
Gasherbrum II,8035,1524,5.3,16,35.7577323,76.6532687
Shishapangma,8027,2906,90.8,10,28.3553668,85.7782824
Broad Peak Central,8016,196,0.7,1,35.8208333,76.565
Annapurna - Middle Peak,8013,73,0.6,1,,76.565
Shishapangma Central,8008,108,0.3,1,,76.565
Manaslu East,7992,92,0.4,0,28.5546148,84.5623791
Annapurna East Pk.,7980,60,0.6,1,17.3775427,78.5186982
Gyachung Kang,7952,672,7.6,2,28.0980314,86.7448435
Gasherbrum III,7952,461,0.9,6,35.759734,76.6419462
Annapurna II,7937,2437,29.1,1,28.5349707,84.1218222
Gasherbrum IV,7925,718,2.4,5,35.7616816,76.6163553
Ngojumba Kang,7916,216,1.7,0,28.1066525,86.6848764
Kangbachen,7903,123,1.4,0,,86.6848764
Himalchuli,7893,1633,14.5,1,25.4078715,-100.9222535
Disteghil Sar,7885,2525,128.4,1,36.3247439,75.1883973
Ngadi Chuli,7871,1020,4.7,1,28.5039267,84.5672489
Nuptse,7864,319,3.5,3,27.8602077,86.8060351
Makalu - Southeast Peak,7860,140,1,1,27.8791784,87.0995612
Kunyang Chhish,7852,1765,13.5,1,36.2055594,75.2076387
Masherbrum,7821,2457,30.3,3,35.6433789,76.3080963
Nanda Devi,7816,3139,388,4,30.3760768,79.9701154
Nuptse II,7815,55,0.4,0,27.9661046,86.8890915
Batura Sar,7795,3118,63,1,36.5105692,74.5231031
Nuptse Shar I,7795,75,0.5,0,27.9643955,86.891036
Chomo Lonzo,7790,590,4,0,,86.891036
Rakaposhi,7788,2818,40.9,2,36.1423242,74.4881554
Namcha Barwa,7782,4106,706.9,1,29.6312935,95.0549125
Zemu Kang,7780,140,0.8,0,,95.0549125
Nuptse Nup I,7775,55,0.4,0,27.969143,86.8818941
Kanjut Sar,7760,1660,18.8,2,36.2051699,75.4161
Gasherbrum II - East Peak,7758,190,0.9,1,35.7545946,76.6679536
Kamet,7756,2825,70.3,6,-1.79102825,129.644853046546
Dhaulagiri II,7751,2391,11.6,2,28.7631589,83.3873786
Ngojumba Kang II,7743,243,1.6,0,28.1056007,86.7054963
Saltoro Kangri,7742,2160,38.1,2,35.3995612,76.8473288
Nuptse Nup II,7732,12,0.5,0,27.972798,86.8756938
Batura II,7730,90,0.1,1,9.333333,8.933333
Batura III,7729,104,1.3,1,,8.933333
Dhaulagiri III,7715,135,1.3,1,28.7540263,83.3771445
Jannu,7711,1036,6.8,1,31.0911756,77.3378327
Tirich Mir,7708,3910,238.3,1,36.2578594,71.8504549
Saltoro Kangri II,7705,225,0.9,1,35.4060697,76.8472006
Disteghil Sar East,7696,116,1.4,0,,76.8472006
Gurla Mandhata,7694,2788,127.5,2,30.4381185,81.2961069
Tirich Mir East,7691,191,0.9,0,,81.2961069
Nuptse Shar III,7686,98,0.8,0,27.960213,86.9134353
Ngojumba Kang III,7681,161,0.6,0,,86.9134353
Kangchungtse,7678,251,1.5,1,,86.9134353
Saser Kangri,7672,2304,101.4,1,34.8665036,77.7522739
Chogolisa,7665,1621,16.2,3,35.6129673,76.5739722
Dhaulagiri IV,7661,469,6.5,1,28.7357489,83.314379
Phola Gangchen,7661,431,0.2,1,28.3562952,85.8095369
Chogolisa - Northeast Summit,7654,54,0.6,2,,85.8095369
Kongur Tagh,7649,3585,239.9,1,38.594522,75.3151402
Annapurna Fang,7647,267,1.2,0,28.5783028,83.800725
Kunyang Chhish South,7620,220,0.4,0,,83.800725
Shispare,7619,1248,15.9,1,36.4398416,74.6806598
Dhaulagiri V,7618,340,2.5,1,28.734057,83.3605794
Silver Crag,7597,137,1.1,0,54.5538851,-2.9357597
Batura IV,7594,94,0.8,1,9.333333,8.933333
Peak 38,7591,31,0.7,1,33.7405388,-117.74217
Trivor,7577,1000,9.9,1,36.2884137,75.0771899
Gangkar Punsum,7570,3049,227.8,0,,75.0771899
Gongga Shan,7556,3642,660.6,2,29.5958507,101.8790571
Annapurna III,7555,703,13.5,1,28.5853509,83.9891091
Changtse,7553,497,2.4,2,28.024329,86.9151856
Muztagata,7546,2735,38.8,10,38.2761073,75.1158944
Skyank Kangri,7544,1059,5,1,,75.1158944
Himalchuli West,7540,280,1.4,0,,75.1158944
Chomo Lonzo Central,7540,240,1.1,0,,75.1158944
Kula Kangri,7538,1654,25.2,2,28.2273067,90.6152621
Liangkang Kangri,7534,234,2,0,28.069155,90.4453221
Skyang Kangri II,7533,93,0.2,0,,90.4453221
Batura VI,7531,151,0.7,1,9.333333,8.933333
Kongur Tiube Tagh,7530,840,10.2,1,,8.933333
Annapurna IV,7525,205,3.2,0,28.5368932,84.0835623
Mamostong Kangri,7516,1803,34.2,1,35.1421531,77.5773882
Ngadi Chuli South,7514,14,1.8,0,,77.5773882
Saser Kangri II,7513,1450,8.2,1,34.8044772,77.8053996
Saser Kangri II West,7511,151,0.9,1,,77.8053996
Tirich Mir West II,7500,80,0.1,0,,77.8053996
Pik Ismail Samani,7495,3402,278.6,4,38.9426906,72.0153504
Saser Kangri III,7495,850,3.6,1,34.8448012,77.7845675
Noshaq,7492,2024,18.9,4,36.4329674,71.830264
Pumar Kish,7492,884,3.5,1,,71.830264
Broad Peak North,7490,212,0.9,1,35.8320887,76.5563467
Tirich Mir West,7487,47,0.2,0,36.2578594,71.8504549
Kangshar Kang,7485,5,0.9,0,,71.8504549
Passu Sar,7476,645,5.4,1,39.3026159,8.4380613
Yukshin Garden Sar,7469,1313,5.8,1,,8.4380613
Teram Kangri I,7462,1702,28.2,1,35.5800963,77.0785355
Kumbhakarna East,7460,50,0.9,0,,77.0785355
Malubiting,7458,2193,36.6,1,36.0028681,74.875989
Junction Peak,7457,187,1.7,1,-20.2120824,57.4983254
Gangapurna,7455,563,3.2,1,28.605655,83.9635144
Muchu Chhish,7453,263,1.9,1,36.5021313,74.5556407
Pungpa Ri,7445,145,0.9,0,28.333721,85.7945751
Pik Pobeda,7439,4146,558,4,43.2267348,27.9031597
Nanda Devi East,7434,234,1.8,1,30.364774,79.9965791
Yangra,7429,2359,47.7,0,28.3917215,85.1270407
K12,7428,1978,19.1,1,35.2954518,77.0218678
Sia Kangri,7422,640,7.7,1,35.663734,76.7621959
Jongsong Peak,7420,1256,17.9,0,27.8815971,88.1349737
Kula Kangri Central,7418,118,1.1,0,,88.1349737
Saser Kangri IV,7415,255,1,0,34.8738553,77.7353387
Momhil Sar,7414,990,5,0,36.3196785,75.0341887
Kabru North,7412,720,5.9,1,,75.0341887
Skilbrum,7410,1152,7,1,35.8512112,76.4259919
Teram Kangri II,7407,167,1.3,1,35.5710517,77.0875569
Istor-o-Nal,7403,1025,8.5,1,36.3772944,71.8975107
Ghent Kangri,7401,1493,12.9,1,35.5178275,76.8001199
Kunyang Chhish East,7400,260,1.2,0,,76.8001199
Tirich Mir West III,7400,80,0.5,0,36.2615223,71.8302809
Haramosh,7397,2277,18,1,35.8406383,74.8976085
Ultar Sar II,7388,700,5,1,36.4036071,74.6943415
Rimo I,7385,1438,30.3,1,35.354573,77.3682874
Churen Himal,7385,600,8.8,1,,77.3682874
Teram Kangri III,7382,500,3.1,1,35.6002887,77.0511033
Kula Kangri East,7381,281,1.2,0,,77.0511033
Sherpi Kangri,7380,900,5.9,1,35.4722218,76.7843699
Istor-o-Nal North,7373,213,1.7,0,36.3772944,71.8975107
Rimo II,7373,73,0.1,1,45.7416283,2.9851701
Himalchuli North,7371,191,1.2,0,,2.9851701
Churen Himal East,7371,171,1.3,0,,2.9851701
Churen Himal West,7371,71,0.9,0,,2.9851701
Labuche Kang,7367,1957,36.7,0,28.303348,86.3488832
Kirat Chuli,7365,1168,8.2,0,27.7914626,88.1971372
Yazghil Dome South,7365,305,1.8,0,,88.1971372
Yebokangal,7365,265,1.4,0,28.3720824,85.7754202
Kangbachen West,7360,10,0.9,0,,85.7754202
Abi Gamin,7355,217,1,1,30.9317883,79.5999776
Kabru Central,7353,113,1.7,1,,79.5999776
Gimmigela,7350,432,2.1,0,27.7410061,88.1582994
Nangpai Gosum,7350,426,4.1,0,28.070525,86.6355487
Kunyang Chhish West,7350,150,0.8,0,,86.6355487
Saraghrar,7349,1979,25.7,1,36.5475266,72.1155238
Talung,7349,409,2.2,1,27.6548025,88.1301939
Namcha Barwa II,7344,144,1,0,,88.1301939
Ghent Kangri II,7342,322,1.3,1,,88.1301939
Tirich Mir West IV,7338,118,0.5,0,36.2703164,71.8150041
Saraghar Central,7330,90,1,0,,71.8150041
Bojohagur Duanasir,7329,229,1.2,1,36.4271873,74.6888566
Sia Kangri II,7325,165,0.6,0,,74.6888566
Yazghil Dome North,7323,63,1,0,,74.6888566
Chamlang,7319,1193,15.4,2,27.7769937,86.9810557
Kabru South,7318,118,1.8,1,,86.9810557
Chongtar,7315,1300,7.2,1,,86.9810557
Sia Kangri III,7315,155,1.1,0,,86.9810557
Baltoro Kangri,7312,1040,7.4,1,35.6456681,76.6656741
Plateau Peak,7310,250,2.5,0,48.4442603,-123.5923478
Siguang Ri,7308,650,3.5,0,28.1478873,86.684561
Saraghar South,7307,67,0.3,0,,86.684561
Jongsong Peak - South Peak,7304,44,0.5,0,,86.684561
Baltoro Kangri III,7300,180,1.9,0,,86.684561
Nangpai Gosum II,7296,176,2,0,28.070525,86.6355487
The Crown,7295,1919,27.1,1,51.45126905,-0.318742595366604
Gyala Peri,7294,2942,20.4,0,29.813035,94.9677112
Porong Ri,7292,520,5.3,0,28.38947,85.71992
Shingeik Zom,7291,271,2.5,0,,85.71992
Rakaposhi Northeast,7290,190,0.7,1,,85.71992
Chamlang East,7287,307,4.1,0,,85.71992
Chamar,7287,127,1.5,0,28.0749777,86.6497081
Summa Ri,7286,246,2.3,0,35.8663639,76.4454848
Baintha Brakk,7285,1891,40.7,1,35.9475333,75.7519683
Yutmaru Sar,7283,620,2.5,1,36.2270237,75.3624911
Pasu Diar,7283,123,1.3,1,,75.3624911
K6,7282,1962,21.3,1,0.3483543,32.6280107
Kangpenqing,7281,1340,24.8,0,,32.6280107
Baltoro Kangri V,7275,135,1.1,0,,32.6280107
Muztagh Tower,7273,1707,6.3,2,35.8272519,76.3624691
Sia Kangri IV,7273,113,0.5,0,,76.3624691
Mana,7272,730,4.2,1,45.709097,-68.8590201
Baltoro Kangri II,7270,110,0.1,0,,-68.8590201
Dhaulagiri VI,7268,478,4.2,1,28.7083897,83.2731956
Diran,7266,1325,14,1,36.127034,74.6597867
Baltoro Kangri IV,7265,65,0.2,0,,74.6597867
Labuche Kang III,7250,570,3.2,0,,74.6597867
Urdok Kangri I,7250,270,1.3,0,35.7047222,76.7291667
Putha Hiunchuli,7246,1151,6.5,1,28.7482046,83.1462685
Apsarasas,7245,625,5.6,1,35.5392695,77.1498659
Karayalak Tagh,7245,145,1.2,0,,77.1498659
Mukut Parbat,7242,840,3.6,1,30.9507709,79.5677463
Apsararas II,7239,219,1.7,1,,79.5677463
Apsarasas III,7236,436,3.2,1,35.5559879,77.1283981
Rimo III,7233,615,2.1,1,35.374818,77.3618241
Jangmanjar Tagh,7229,166,2,0,,77.3618241
Langtang Lirung,7227,1525,24.5,0,28.256616,85.5168032
Karjiang,7221,920,3.1,0,,85.5168032
Apsarasas IV,7221,141,0.6,1,,85.5168032
Shingeik II,7220,40,0.1,0,,85.5168032
Annapurna Dakshin,7219,775,5.2,0,,85.5168032
Khartaphu,7213,665,6.2,1,28.0641783,86.977291
Kokodak Tagh,7210,230,2.2,0,,86.977291
Saraghar Southeast,7208,48,0.5,0,,86.977291
Tongshanjiabu,7207,1757,49.3,0,28.1861706,89.9564673
Singhi Kangri,7207,800,5.2,1,35.5990478,76.9832145
Norin Kang,7206,2160,87.1,0,,76.9832145
Langtang Ri,7205,650,3.2,0,28.3823961,85.6839464
Kangphu Kang,7204,1200,12.2,0,28.1058987,90.3512889
Mulungutti Sar,7202,522,4.5,1,,90.3512889
Lupghar Sar,7200,730,3.4,1,36.3468286,75.0104856
Peak 7200,7200,160,0.7,0,33.7405388,-117.74217
Pumar Kish South,7200,160,0.1,0,,-117.74217
